,상호,계,업종,주소,거리
171,동달식당판교점,18,일반음식점,"경기 성남시 분당구 대왕판교로660, 1동 3층 307호 (삼평동,유스페이스 ",
172,나고미,18,일반음식점,"경기 성남시 분당구 판교역로 230, B동 지하1층 B-103호  (삼평동,삼환하이펙스)",
173,교촌치킨동판교,18,일반음식점 기타,"경기 성남시 분당구 판교역로192번길 12, 1층 일부 (삼평동,판교미래에셋센터)",
174,교동냉면,18,한식,"경기 성남시 분당구 판교역로 240, A동 B102호 (삼평동,삼환하이펙스)",
175,고대생막창,18,한식,"경기 성남시 분당구 판교역로241번길 22, 120 삼평동,판교M타워",
176,홍박사생고기,17,일반음식점,"경기 성남시 분당구 양현로 447 (야탑동,1층, 지하1층)",
177,카레뜰에,17,일반음식점,"경기 성남시 분당구 판교역로 231, 116호 (삼평동,에이치스퀘어에스동 지하1층)",
178,제너시스비비큐판교테크노밸리점주,17,치킨전문점,"경기 성남시 분당구 판교역로 231, S동 121호 (삼평동,에이치스퀘어)",
179,유나인유스페이스점,17,일반음식점 기타,경기 성남시 분당구 삼평동 670번지 유스페이스1 지하B107호,
180,봉추찜닭 판교테크노밸리점,17,일반음식점,"경기 성남시 분당구 대왕판교로 670, 210호 (삼평동,유스페이스몰2)",
181,맥주콜（판교점）,17,일반음식점기타,"경기 성남시 분당구 삼평동(대왕판교로 660) 유스페이스1제2층209-2호, ",
182,곱창고,17,일반음식점,"경기 성남시 분당구 대왕판교로 660, 1층 104호 일부 유스페이스1 (삼평동)",
183,유치회관(주)유치푸드,16,일반음식점,"경기 성남시 분당구 대왕판교로 140, 1층 (금곡동)",
184,속초 코다리,16,일반음식점,"경기 성남시 분당구 대왕판교로 670, 2층 220호 (삼평동,유스페이스2)",
185,가르텐,16,일반음식점,"경기 성남시 분당구 대왕판교로 660, 유스페이스1동지하1층B126호 (삼평동)",
186,(주)판교해우리,16,일반음식점,"경기 성남시 분당구 판교역로 145, 지하1층122,138,139,140,141,142호 (백현동,알파리움타워)",
